trade_date,trade_code,exchange
2025.04.15,HC2504,SHF
2025.04.15,SP2504,SHF
2025.04.15,WR2504,SHF
2025.04.15,SS2504,SHF
2025.04.15,AG2504,SHF
2025.04.15,ZN2504,SHF
2025.04.15,RB2504,SHF
2025.04.15,PB2504,SHF
2025.04.15,SN2504,SHF
2025.04.15,BU2504,SHF
2025.04.15,BR2504,SHF
2025.04.15,AO2504,SHF
2025.05.15,SS2505,SHF
2025.05.15,BU2505,SHF
2025.05.15,AG2505,SHF
2025.05.15,SN2505,SHF
2025.05.15,PB2505,SHF
2025.05.15,RU2505,SHF
2025.05.15,WR2505,SHF
2025.05.15,BR2505,SHF
2025.05.15,AO2505,SHF
2025.05.15,SP2505,SHF
2025.05.15,AL2505,SHF
2025.05.15,HC2505,SHF
2025.06.16,AU2506,SHF
2025.05.15,RB2505,SHF
2025.05.15,CU2505,SHF
2025.05.15,NI2505,SHF
2025.05.15,ZN2505,SHF
2025.04.30,FU2505,SHF
2024.09.20,MO2409-C-7000,CFE
2024.09.20,MO2409-P-7000,CFE
2024.09.20,IO2409-C-3100,CFE
2024.09.20,IO2409-P-3100,CFE
2024.09.20,HO2409-P-2150,CFE
2024.09.20,HO2409-C-2150,CFE
2024.09.20,HO2409-P-2100,CFE
2024.09.20,IO2409-P-3200,CFE
2024.09.20,IO2409-C-3200,CFE
2024.09.20,MO2409-P-5200,CFE
2024.09.20,MO2409-C-5200,CFE
2024.09.20,HO2409-C-2200,CFE
2024.09.20,HO2409-P-2200,CFE
2024.09.20,HO2409-C-2100,CFE
2024.09.20,MO2409-C-5000,CFE
2024.09.20,MO2409-P-5000,CFE
2024.09.20,IO2409-C-3900,CFE
2024.09.20,IO2409-P-3800,CFE
2024.09.20,IO2409-C-3800,CFE
2024.09.20,IO2409-C-3500,CFE
2024.09.20,IO2409-C-3400,CFE
2024.09.20,IO2409-C-3300,CFE
2024.09.20,IO2409-C-4100,CFE
2024.09.20,IO2409-P-3600,CFE
2024.09.20,HO2409-C-2900,CFE
2024.09.20,HO2409-P-2900,CFE
2024.09.20,IO2409-P-3300,CFE
2024.09.20,IO2409-P-3900,CFE
2024.09.20,HO2409-C-2250,CFE
2024.09.20,HO2409-C-2300,CFE
2024.09.20,HO2409-C-2350,CFE
2024.09.20,HO2409-C-2400,CFE
2024.09.20,HO2409-C-2450,CFE
2024.09.20,HO2409-C-2500,CFE
2024.09.20,IO2409-P-3400,CFE
2024.09.20,HO2409-C-2600,CFE
2024.09.20,HO2409-C-2700,CFE
2024.09.20,HO2409-C-2800,CFE
2024.09.20,HO2409-P-2250,CFE
2024.09.20,HO2409-P-2300,CFE
2024.09.20,HO2409-P-2350,CFE
2024.09.20,HO2409-P-2400,CFE
2024.09.20,HO2409-P-2450,CFE
2024.09.20,HO2409-P-2500,CFE
2024.09.20,HO2409-P-2600,CFE
2024.09.20,HO2409-P-2700,CFE
2024.09.20,HO2409-P-2800,CFE
2024.09.20,MO2409-C-5400,CFE
2024.09.20,MO2409-C-5600,CFE
2024.09.20,MO2409-C-5800,CFE
2024.09.20,MO2409-C-6000,CFE
2024.09.20,MO2409-C-6200,CFE
2024.09.20,IO2409-P-4000,CFE
2024.09.20,IO2409-C-3700,CFE
2024.09.20,IO2409-C-3600,CFE
2024.09.20,MO2409-C-6400,CFE
2024.09.20,MO2409-C-6600,CFE
2024.09.20,MO2409-C-6800,CFE
2024.09.20,MO2409-P-5400,CFE
2024.09.20,MO2409-P-5600,CFE
2024.09.20,MO2409-P-5800,CFE
2024.09.20,MO2409-P-6000,CFE
2024.09.20,MO2409-P-6200,CFE
2024.09.20,MO2409-P-6400,CFE
2024.09.20,MO2409-P-6600,CFE
2024.09.20,MO2409-P-6800,CFE
2024.09.20,IO2409-P-3500,CFE
2024.09.20,IO2409-P-3700,CFE
2024.09.20,IO2409-P-4100,CFE
2024.09.20,IO2409-C-4000,CFE
2024.09.20,IO2409-C-4200,CFE
2024.09.20,IO2409-P-4200,CFE
2024.09.20,HO2409-P-2000,CFE
2024.09.20,HO2409-C-2000,CFE
2024.12.20,IO2412-P-3100,CFE
2024.12.20,IO2412-C-3500,CFE
2024.12.20,IO2412-P-3000,CFE
2024.12.20,IO2412-C-3000,CFE
2024.12.20,IO2412-C-3600,CFE
2024.12.20,HO2412-C-2000,CFE
2024.12.20,HO2412-C-2050,CFE
2024.12.20,HO2412-C-2100,CFE
2024.12.20,HO2412-C-2150,CFE
2024.12.20,HO2412-C-2200,CFE
2024.12.20,HO2412-C-2250,CFE
2024.12.20,HO2412-C-2300,CFE
2024.12.20,HO2412-C-2350,CFE
2024.12.20,HO2412-C-2400,CFE
2024.12.20,HO2412-C-2450,CFE
